View ID,Video ID,User ID,View Date,Duration Watched,Feedback
1,15,30,2025-02-05,1675,"Too fast, please slow down."
2,4,4,2025-04-18,967,Great visuals!
3,45,6,2025-04-22,5505,That was super helpful!
4,23,29,2025-04-04,6722,Could be better quality.
5,16,28,2025-02-28,5531,"Clear and concise, thanks!"
6,6,44,2025-05-24,2419,I learned so much.
7,43,26,2025-02-27,6476,Could be better quality.
8,53,4,2025-05-12,4536,Loved every second.
9,8,16,2025-03-14,1950,"Clear and concise, thanks!"
10,36,1,2024-12-23,6316,Subbed right away.
11,17,27,2025-01-04,3042,I learned so much.
12,41,9,2025-02-09,302,This changed my workflow.
13,19,23,2025-03-07,5684,That was super helpful!
14,52,23,2025-01-17,6246,That was super helpful!
15,42,19,2025-05-06,3130,"Clear and concise, thanks!"
16,40,21,2025-02-02,7075,Loved every second.
17,47,39,2025-01-10,1657,"Too fast, please slow down."
18,41,44,2025-05-08,1600,Could be better quality.
19,47,23,2025-02-06,6403,Great visuals!
20,19,42,2025-01-05,4491,"Clear and concise, thanks!"
21,25,2,2025-03-21,5999,That was super helpful!
22,49,41,2024-12-05,1351,Could be better quality.
23,24,12,2025-05-01,1147,This changed my workflow.
24,7,18,2025-04-25,632,I learned so much.
25,4,17,2025-02-23,1095,Amazing content!
26,27,6,2024-12-19,2159,Subbed right away.
27,51,36,2025-04-26,5487,Subbed right away.
28,8,22,2025-03-14,6577,Amazing content!
29,29,16,2025-05-25,796,Loved every second.
30,40,7,2025-02-03,6889,"Too fast, please slow down."
31,53,23,2024-12-05,1506,"Clear and concise, thanks!"
32,25,1,2025-02-09,1747,Could be better quality.
33,59,1,2025-02-09,1092,Loved every second.
34,12,35,2025-03-19,3481,"Clear and concise, thanks!"
35,50,25,2025-03-09,561,That was super helpful!
36,8,37,2025-02-15,2210,This changed my workflow.
37,4,41,2024-12-05,4483,Could be better quality.
38,57,20,2025-03-08,4924,Subbed right away.
39,51,43,2025-03-01,215,"Clear and concise, thanks!"
40,20,19,2025-04-05,3527,Could be better quality.
41,32,3,2025-02-07,567,"Clear and concise, thanks!"
42,11,43,2025-05-14,4534,Could be better quality.
43,58,5,2025-02-01,4767,Could be better quality.
44,26,37,2025-02-04,5855,Subbed right away.
45,24,5,2025-04-01,764,Great visuals!
46,3,35,2025-03-08,5775,That was super helpful!
47,14,44,2025-05-17,1309,Subbed right away.
48,7,46,2025-05-14,6890,"Too fast, please slow down."
49,52,47,2025-01-26,5070,"Too fast, please slow down."
50,22,43,2025-04-10,5296,"Too fast, please slow down."
51,28,43,2024-12-03,881,Loved every second.
52,3,14,2025-04-18,5408,"Clear and concise, thanks!"
53,51,46,2024-12-08,4811,Amazing content!
54,24,33,2025-02-08,5811,Amazing content!
55,19,27,2025-04-09,4400,Subbed right away.
56,55,43,2025-01-06,780,That was super helpful!
57,57,38,2024-12-23,5840,"Clear and concise, thanks!"
58,34,49,2024-12-25,5468,This changed my workflow.
59,7,30,2024-12-10,2047,Subbed right away.
60,31,2,2025-02-20,2456,Great visuals!
61,24,42,2025-03-15,6858,Subbed right away.
62,49,37,2024-12-27,5373,I learned so much.
63,13,11,2025-05-16,3101,That was super helpful!
64,38,7,2025-01-21,6601,I learned so much.
65,49,27,2024-12-08,1481,Loved every second.
66,43,40,2025-05-08,1926,This changed my workflow.
67,25,9,2025-01-17,5597,Loved every second.
68,49,32,2025-01-12,6222,Could be better quality.
69,57,41,2025-01-12,4105,I learned so much.
70,21,39,2024-12-16,6945,"Too fast, please slow down."
